"uid"	"cat"	"name"	"screen_name"	"description"	"verified"	"location"	"lat"	"lon"	"country"	"countryID"	"created_at"	"followers_count"	"friends_count"	"statuses_count"	"favourites_count"	"listed_count"
216776631	1.0	"Bernie Sanders"	"BernieSanders"	"Join our campaign for president at https://t.co/nuBuflGIwb. Tweets by staff."	True	"Vermont"	44.00034	-72.74983	"United States"	"6252001"	"2010-11"	1710515.0	1470.0	7381.0	847.0	7898.0
29590509	0.0	"Cameron Harrelson"	"Cam4573"	"CNN iReporter. Conservative Tweeter. Republican most of the time. Equality & Human Rights. Living life and trying to make a difference; follow me on my journey!"	False	"Athens, Georgia"	33.96095	-83.37794	"United States"	"6252001"	"2009-04"	712.0	440.0	6363.0	2920.0	6.0
92591950	1.0	"Chris Cruz"	"chrisjosephcruz"	"Husband to Lana. Pastor at Bethel/BSSM/Tribe Young Adults."	False	"Redding, CA"	40.58654	-122.39168	"United States"	"6252001"	"2009-11"	3196.0	261.0	3501.0	223.0	50.0
2295018296	0.0	"PresBush41Info"	"PresBush41Info"	"Complete source for President Bush 41 events and info, including #Bush25 reunion Apr 4-6 at @BushLibrary at Texas A&M. Also: @GeorgeHWBush @GB41Foundation"	False	""	""	""	""	""	"2014-01"	1477.0	17.0	177.0	91.0	16.0
4340820854	0.0	"Your Favs are LGBTQ+"	"Queercanons"	"Everyone is queer until stated otherwise! DM us your LGBTQA+ headcanons!"	False	"[All orientations welcomed!] "	""	""	""	""	"2015-11"	47.0	50.0	65.0	25.0	0.0
4825930887	1.0	"Hero Bernie Sanders"	"HeroBernie"	"We need a real hero in America! We need Bernie Sanders to guide us into a new and better age!"	False	""	""	""	""	""	"2016-01"	162.0	148.0	390.0	806.0	4.0
790903590	1.0	"LadyGrayLiberty"	"LadyGrayLiberty"	"Christian, Pro Life, Conservative, Texan, AsAMom,13th generation American. Stand with Israel. Save the Constitution - Read it! Followed by @TedCruz #tcot"	False	""	""	""	""	""	"2012-08"	1486.0	2079.0	2653.0	308.0	35.0
874865167	0.0	"Frank The Tank®"	"Frankie_Jaay97"	"@ohaicutie #SpursNation #Bernie2016 #UTSA19"	False	"South Texas, USA "	25.9073	-97.42609	"United States"	"6252001"	"2012-10"	813.0	693.0	55354.0	17958.0	16.0
2236855903	0.0	"Republican Stoner"	"RepubStoner"	"successfully treating bipolar II w/ cannabis... in a prohibition state #legalizemyMEDICINE"	False	"#YESon2"	""	""	""	""	"2013-12"	436.0	348.0	3329.0	1187.0	10.0
2590343858	0.0	"The Jax Republican"	"JaxRepublican"	"Just a simple Republican living in beautiful Jacksonville. I love Florida, the GOP, & FSU! #sayfie #flapol #ilovejax"	False	"Jacksonville, FL"	30.33218	-81.65565	"United States"	"6252001"	"2014-06"	159.0	607.0	380.0	67.0	0.0
2368167096	0.0	"Snarky Republican"	"SnarkyCon"	"Snarky. Cynical. Pithy. Republican. @snarkyRINO is treasurer of #SnarkyPAC. @sassypolitico76 is a national treasure. #Snark4America"	False	"Snarkin' Coast to Coast "	""	""	""	""	"2014-03"	265.0	376.0	778.0	415.0	2.0
952755865	1.0	"Andrew McNeil"	"mcneil4congress"	"Father of seven, and grandfather of two. Former Congressional Candidate who is committed to restoring America back to greatness."	False	"Freedom IN"	39.20699	-86.86917	"United States"	"6252001"	"2012-11"	1768.0	1991.0	1953.0	336.0	19.0
174925229	1.0	"Jeb Bush"	"jebbush12"	""	False	""	""	""	""	""	"2010-08"	50.0	11.0	26.0	0.0	1.0
940501590	1.0	"Emily Foster"	"emfo805"	"Bernie 2016 Digital Team | ΦΣΣ | 21 American University SPA & SOC"	False	"DC & Southern CA"	34.06805	-118.48847	"United States"	"6252001"	"2012-11"	266.0	659.0	2970.0	2768.0	5.0
69401520	1.0	"Sandpoint Democrat"	"sandpointdem"	"Official Bonner County Democratic Central Committee. Encouraging and electing Democrats in Sandpoint, Priest River, Sagle, Hope, Clark Fork."	False	"Sandpoint, Idaho"	48.29659	-116.56269	"United States"	"6252001"	"2009-08"	128.0	153.0	179.0	10.0	4.0
204192344	1.0	"The Truth"	"EmpressAyanna"	"Somewhere dancing."	False	"DC bred Trini fed"	""	""	""	""	"2010-10"	460.0	508.0	8491.0	20.0	4.0
244255664	1.0	"Donald Trump"	"RealTrump2016"	"Donald J. Trump for President of the United States of America! 

Trying to make America Great Again."	False	"Donald Trump "	""	""	""	""	"2011-01"	5653.0	11.0	651.0	93.0	51.0
624424692	0.0	"Hope Republicans"	"HopeRepublicans"	"Welcome to the official Twitter account of Hope College Republicans, the best party on campus!"	False	"Holland, Michigan"	42.78752	-86.10893	"United States"	"6252001"	"2012-07"	113.0	172.0	170.0	37.0	1.0
2966205003	1.0	"Rep. Mark Walker"	"RepMarkWalker"	"Member of the U.S. Congress - Representing the 6th District of North Carolina"	True	""	""	""	""	""	"2015-01"	3048.0	1207.0	885.0	871.0	125.0
839041598	0.0	"Corner Politics"	"CornerPolitics1"	"Corner Politics is that pure uncut blog where you’ll get brutal honesty, straight to the point, good ol’ fashioned sh#t talking about any and everything."	False	"Denver,  DMV"	""	""	""	""	"2012-09"	424.0	1400.0	6850.0	81.0	11.0
3633358032	0.0	"To The Left"	"cali_liberal"	"Proud Progressive Fighting For The Soul of The Democratic Party #FeelThe Bern #LGBT #VoterSupression #CivilRights #StopClimateChange #OccupyWallStreet"	False	"Los Angeles, CA"	34.05223	-118.24368	"United States"	"6252001"	"2015-09"	3514.0	5002.0	9027.0	3563.0	69.0
14640695	0.0	"College Democrats"	"DemsUCF"	"We are the voice of progress on campus.
We are the College Democrats at UCF. Keep Moving Forward."	False	"Orlando, FL (USA)"	28.53834	-81.37924	"United States"	"6252001"	"2008-05"	1129.0	622.0	3775.0	96.0	41.0
719339280	0.0	"trump sucks"	"harrypofter"	"A washrag would humble a lot of bitches these days"	False	"ʰᵃʳʳʸᵖᵒᶠᵗᵉʳ"	""	""	""	""	"2012-07"	947.0	54.0	2591.0	2577.0	3.0
